BN Layers,Drp Layers,Drp Probability,Accuracy,Training Time,TTA 0.87
0,0,0,0.7164000273,3980.16095,NaN
0,1,0.2,0.7402999997,4164.19827,416.76601
0,1,0.5,0.712199986,4139.772803,886.6885948
0,1,0.8,0.6577000022,4186.440722,1318.508839
0,2,0.2,0.72299999,4373.524526,920.2975214
0,2,0.5,0.6531999707,4374.632323,2232.498969
0,2,0.8,0.5403000116,4401.84161,NaN
0,3,0.2,0.7178000212,4431.205626,1371.528307
0,3,0.5,0.6529999971,4454.618563,3248.348911
0,3,0.8,0.4785000086,4516.135432,4176.732324
1,0,0,0.7505999804,3654.28601,240.9420812
1,1,0.2,0.7743999958,3829.346447,372.5483918
1,1,0.5,0.766900003,3769.910964,589.5758216
1,1,0.8,0.584100008,3829.743172,1491.661151
1,2,0.2,0.7774000168,3894.926625,490.6155865
1,2,0.5,0.725399971,4029.600781,1421.21578
1,2,0.8,0.6201000214,4298.549466,3661.485133
1,3,0.2,0.7867000103,3988.353435,542.2596107
1,3,0.5,0.7096999884,3997.322601,1618.794123
1,3,0.8,0.5781000257,4058.194796,3916.172011
2,0,0,0.7479000092,3857.71221,183.1370654
2,1,0.2,0.7727000117,4060.486167,271.2130988
2,1,0.5,0.77700001,4029.529188,363.4736085
2,1,0.8,0.7433000207,3982.214019,645.5603027
2,2,0.2,0.7839000225,4118.110867,353.865099
2,2,0.5,0.6376000047,4094.344284,842.1111546
2,2,0.8,0.6432999969,1751.162606,4154.498652
2,3,0.2,0.7881000042,4213.665605,426.7184782
2,3,0.5,0.7315000296,4221.870119,1076.931561
2,3,0.8,0.6105999947,4216.675855,2503.083934
3,0,0,0.665899992,4024.746749,766.4675567
3,1,0.2,0.7633000016,4246.956871,781.6735461
3,1,0.5,0.7712000012,4174.870868,818.8339798
3,1,0.8,0.7231000066,4121.744552,1083.096482
3,2,0.2,0.7494000196,4255.70013,797.054256
3,2,0.5,0.743900001,4279.396113,1070.274216
3,2,0.8,0.636500001,4248.759356,1494.172261
3,3,0.2,0.7472000122,4472.47634,1023.147496
3,3,0.5,0.7336999774,4513.217928,1801.958766
3,3,0.8,0.5981000066,4451.31623,2875.729377